年度季別,醫事機構代碼,醫事機構名稱,特約類別,血清白蛋白檢查人數,腹膜透析人數,血清白蛋白受檢率,檢測方法,院所腎臟專科醫師數,院所是否參與健保計畫,院所是否參與國健署計畫,縣市別,鄉鎮別
108年第二季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,16.00,16.00,1.0000,BCG,3,是,否,高雄市,前金區
108年第三季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,18.00,18.00,1.0000,BCG,3,是,否,高雄市,前金區
108年第四季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,17.00,17.00,1.0000,BCG,3,是,否,高雄市,前金區
109年第一季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,15.00,15.00,1.0000,BCG,4,是,否,高雄市,前金區
109年第二季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,15.00,15.00,1.0000,BCG,4,是,否,高雄市,前金區
109年第三季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,16.00,16.00,1.0000,BCG,4,是,否,高雄市,前金區
109年第四季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,17.00,17.00,1.0000,BCG,4,是,否,高雄市,前金區
110年第一季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,17.00,17.00,1.0000,BCG,4,是,否,高雄市,前金區
110年第二季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,18.00,18.00,1.0000,BCG,5,是,否,高雄市,前金區
110年第三季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,18.00,18.00,1.0000,BCG,5,是,否,高雄市,前金區
110年第四季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,18.00,18.00,1.0000,BCG,5,是,否,高雄市,前金區
111年第一季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,17.00,17.00,1.0000,BCG,5,是,否,高雄市,前金區
111年第二季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,16.00,16.00,1.0000,BCG,5,是,否,高雄市,前金區
111年第三季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,16.00,16.00,1.0000,BCP,4,是,否,高雄市,前金區
111年第四季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,14.00,14.00,1.0000,BCG,4,是,否,高雄市,前金區
112年第一季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,14.00,14.00,1.0000,BCG,5,是,否,高雄市,前金區
112年第二季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,15.00,15.00,1.0000,BCG,5,是,否,高雄市,前金區
98年第二季,0111070010,衛生福利部基隆醫院,區域醫院,2.00,2.00,1.0000,BCP,2,是,否,基隆市,信義區
98年第三季,0111070010,衛生福利部基隆醫院,區域醫院,3.00,3.00,1.0000,BCP,2,是,否,基隆市,信義區
98年第四季,0111070010,衛生福利部基隆醫院,區域醫院,3.00,4.00,0.7500,BCP,2,是,否,基隆市,信義區
99年第一季,0111070010,衛生福利部基隆醫院,區域醫院,5.00,5.00,1.0000,BCP,2,是,否,基隆市,信義區
99年第二季,0111070010,衛生福利部基隆醫院,區域醫院,5.00,6.00,0.8333,BCP,2,是,否,基隆市,信義區
99年第三季,0111070010,衛生福利部基隆醫院,區域醫院,7.00,7.00,1.0000,BCP,2,是,否,基隆市,信義區
99年第四季,0111070010,衛生福利部基隆醫院,區域醫院,8.00,8.00,1.0000,BCG,2,是,否,基隆市,信義區
100年第一季,0111070010,衛生福利部基隆醫院,區域醫院,10.00,10.00,1.0000,BCG,2,是,,基隆市,信義區
100年第二季,0111070010,衛生福利部基隆醫院,區域醫院,10.00,10.00,1.0000,BCG,2,是,,基隆市,信義區
100年第三季,0111070010,衛生福利部基隆醫院,區域醫院,10.00,10.00,1.0000,BCG,2,是,否,基隆市,信義區
100年第四季,0111070010,衛生福利部基隆醫院,區域醫院,10.00,10.00,1.0000,BCG,2,是,否,基隆市,信義區
101年第一季,0111070010,衛生福利部基隆醫院,區域醫院,9.00,9.00,1.0000,BCG,2,是,否,基隆市,信義區
101年第二季,0111070010,衛生福利部基隆醫院,區域醫院,9.00,10.00,0.9000,BCG,2,是,否,基隆市,信義區
101年第三季,0111070010,衛生福利部基隆醫院,區域醫院,10.00,10.00,1.0000,BCG,2,是,否,基隆市,信義區
101年第四季,0111070010,衛生福利部基隆醫院,區域醫院,12.00,12.00,1.0000,BCG,2,是,否,基隆市,信義區
102年第一季,0111070010,衛生福利部基隆醫院,區域醫院,11.00,11.00,1.0000,BCG,2,是,否,基隆市,信義區
102年第二季,0111070010,衛生福利部基隆醫院,區域醫院,10.00,10.00,1.0000,BCG,2,是,否,基隆市,信義區
102年第三季,0111070010,衛生福利部基隆醫院,區域醫院,12.00,12.00,1.0000,BCG,2,是,否,基隆市,信義區
102年第四季,0111070010,衛生福利部基隆醫院,區域醫院,13.00,13.00,1.0000,BCG,2,是,否,基隆市,信義區
103年第一季,0111070010,衛生福利部基隆醫院,區域醫院,13.00,14.00,0.9285,BCG,3,是,否,基隆市,信義區
103年第二季,0111070010,衛生福利部基隆醫院,區域醫院,14.00,14.00,1.0000,BCG,3,是,否,基隆市,信義區
103年第三季,0111070010,衛生福利部基隆醫院,區域醫院,14.00,14.00,1.0000,BCG,3,是,否,基隆市,信義區
103年第四季,0111070010,衛生福利部基隆醫院,區域醫院,13.00,14.00,0.9285,BCG,3,是,否,基隆市,信義區
104年第一季,0111070010,衛生福利部基隆醫院,區域醫院,13.00,13.00,1.0000,BCG,3,是,是,基隆市,信義區
104年第二季,0111070010,衛生福利部基隆醫院,區域醫院,15.00,15.00,1.0000,BCG,3,是,是,基隆市,信義區
104年第三季,0111070010,衛生福利部基隆醫院,區域醫院,16.00,16.00,1.0000,BCG,3,是,否,基隆市,信義區
104年第四季,0111070010,衛生福利部基隆醫院,區域醫院,17.00,17.00,1.0000,BCG,3,是,否,基隆市,信義區
105年第一季,0111070010,衛生福利部基隆醫院,區域醫院,17.00,17.00,1.0000,BCG,3,是,是,基隆市,信義區
105年第二季,0111070010,衛生福利部基隆醫院,區域醫院,20.00,20.00,1.0000,BCG,3,是,是,基隆市,信義區
105年第三季,0111070010,衛生福利部基隆醫院,區域醫院,19.00,19.00,1.0000,BCG,3,是,否,基隆市,信義區
105年第四季,0111070010,衛生福利部基隆醫院,區域醫院,18.00,18.00,1.0000,BCG,3,是,否,基隆市,信義區
106年第一季,0111070010,衛生福利部基隆醫院,區域醫院,18.00,18.00,1.0000,BCG,3,是,是,基隆市,信義區
106年第二季,0111070010,衛生福利部基隆醫院,區域醫院,18.00,18.00,1.0000,BCG,3,是,是,基隆市,信義區
106年第三季,0111070010,衛生福利部基隆醫院,區域醫院,18.00,18.00,1.0000,BCG,3,是,否,基隆市,信義區
106年第四季,0111070010,衛生福利部基隆醫院,區域醫院,18.00,18.00,1.0000,BCG,3,是,否,基隆市,信義區
107年第一季,0111070010,衛生福利部基隆醫院,區域醫院,20.00,20.00,1.0000,BCG,3,是,否,基隆市,信義區
107年第二季,0111070010,衛生福利部基隆醫院,區域醫院,18.00,18.00,1.0000,BCG,3,是,否,基隆市,信義區
107年第三季,0111070010,衛生福利部基隆醫院,區域醫院,22.00,22.00,1.0000,BCG,3,是,否,基隆市,信義區
107年第四季,0111070010,衛生福利部基隆醫院,區域醫院,22.00,22.00,1.0000,BCG,3,是,否,基隆市,信義區
108年第一季,0111070010,衛生福利部基隆醫院,區域醫院,24.00,24.00,1.0000,BCG,3,是,否,基隆市,信義區
108年第二季,0111070010,衛生福利部基隆醫院,區域醫院,26.00,27.00,0.9630,BCG,3,是,否,基隆市,信義區
108年第三季,0111070010,衛生福利部基隆醫院,區域醫院,26.00,26.00,1.0000,BCG,3,是,否,基隆市,信義區
108年第四季,0111070010,衛生福利部基隆醫院,區域醫院,28.00,28.00,1.0000,BCG,3,是,否,基隆市,信義區
109年第一季,0111070010,衛生福利部基隆醫院,區域醫院,27.00,28.00,0.9643,BCG,3,是,否,基隆市,信義區
109年第二季,0111070010,衛生福利部基隆醫院,區域醫院,25.00,25.00,1.0000,BCG,3,是,否,基隆市,信義區
109年第三季,0111070010,衛生福利部基隆醫院,區域醫院,24.00,24.00,1.0000,BCG,2,是,否,基隆市,信義區
109年第四季,0111070010,衛生福利部基隆醫院,區域醫院,24.00,24.00,1.0000,BCG,2,是,否,基隆市,信義區
110年第一季,0111070010,衛生福利部基隆醫院,區域醫院,24.00,24.00,1.0000,BCG,2,是,否,基隆市,信義區
110年第二季,0111070010,衛生福利部基隆醫院,區域醫院,25.00,25.00,1.0000,BCG,2,是,否,基隆市,信義區
110年第三季,0111070010,衛生福利部基隆醫院,區域醫院,26.00,26.00,1.0000,BCG,2,是,否,基隆市,信義區
110年第四季,0111070010,衛生福利部基隆醫院,區域醫院,24.00,24.00,1.0000,BCG,2,是,否,基隆市,信義區
111年第一季,0111070010,衛生福利部基隆醫院,區域醫院,24.00,24.00,1.0000,BCG,2,是,否,基隆市,信義區
111年第二季,0111070010,衛生福利部基隆醫院,區域醫院,23.00,23.00,1.0000,BCG,2,是,否,基隆市,信義區
111年第三季,0111070010,衛生福利部基隆醫院,區域醫院,22.00,22.00,1.0000,BCG,2,是,否,基隆市,信義區
111年第四季,0111070010,衛生福利部基隆醫院,區域醫院,24.00,24.00,1.0000,BCG,2,是,否,基隆市,信義區
112年第一季,0111070010,衛生福利部基隆醫院,區域醫院,24.00,24.00,1.0000,BCG,3,是,否,基隆市,信義區
112年第二季,0111070010,衛生福利部基隆醫院,區域醫院,22.00,22.00,1.0000,BCG,3,是,否,基隆市,信義區
97年第三季,0117030010,衛生福利部臺中醫院,區域醫院,3.00,3.00,1.0000,BCG,1,是,否,臺中市,西區
97年第四季,0117030010,衛生福利部臺中醫院,區域醫院,2.00,2.00,1.0000,BCG,1,是,否,臺中市,西區
98年第一季,0117030010,衛生福利部臺中醫院,區域醫院,2.00,2.00,1.0000,BCG,1,是,否,臺中市,西區
98年第二季,0117030010,衛生福利部臺中醫院,區域醫院,2.00,2.00,1.0000,BCG,1,是,否,臺中市,西區
98年第三季,0117030010,衛生福利部臺中醫院,區域醫院,2.00,2.00,1.0000,BCG,1,是,否,臺中市,西區
98年第四季,0117030010,衛生福利部臺中醫院,區域醫院,1.00,2.00,0.5000,BCG,1,是,否,臺中市,西區
99年第二季,0117030010,衛生福利部臺中醫院,區域醫院,1.00,1.00,1.0000,BCG,2,是,否,臺中市,西區
99年第三季,0117030010,衛生福利部臺中醫院,區域醫院,1.00,1.00,1.0000,BCG,2,是,否,臺中市,西區
99年第四季,0117030010,衛生福利部臺中醫院,區域醫院,2.00,2.00,1.0000,BCP,2,是,否,臺中市,西區
100年第一季,0117030010,衛生福利部臺中醫院,區域醫院,6.00,6.00,1.0000,BCP,2,是,,臺中市,西區
100年第二季,0117030010,衛生福利部臺中醫院,區域醫院,7.00,7.00,1.0000,BCP,2,是,,臺中市,西區
100年第三季,0117030010,衛生福利部臺中醫院,區域醫院,8.00,8.00,1.0000,BCP,2,是,否,臺中市,西區
100年第四季,0117030010,衛生福利部臺中醫院,區域醫院,9.00,9.00,1.0000,BCP,2,是,否,臺中市,西區
101年第一季,0117030010,衛生福利部臺中醫院,區域醫院,11.00,11.00,1.0000,BCG,2,是,否,臺中市,西區
101年第二季,0117030010,衛生福利部臺中醫院,區域醫院,13.00,13.00,1.0000,BCP,2,是,否,臺中市,西區
101年第三季,0117030010,衛生福利部臺中醫院,區域醫院,14.00,14.00,1.0000,BCP,2,是,否,臺中市,西區
101年第四季,0117030010,衛生福利部臺中醫院,區域醫院,13.00,13.00,1.0000,BCP,2,是,否,臺中市,西區
102年第一季,0117030010,衛生福利部臺中醫院,區域醫院,14.00,14.00,1.0000,BCP,2,是,否,臺中市,西區
102年第二季,0117030010,衛生福利部臺中醫院,區域醫院,13.00,13.00,1.0000,BCP,2,是,否,臺中市,西區
102年第三季,0117030010,衛生福利部臺中醫院,區域醫院,12.00,12.00,1.0000,BCP,2,是,否,臺中市,西區
102年第四季,0117030010,衛生福利部臺中醫院,區域醫院,13.00,13.00,1.0000,BCP,2,是,否,臺中市,西區
103年第一季,0117030010,衛生福利部臺中醫院,區域醫院,14.00,14.00,1.0000,BCP,2,是,是,臺中市,西區
103年第二季,0117030010,衛生福利部臺中醫院,區域醫院,12.00,12.00,1.0000,BCP,2,是,是,臺中市,西區
103年第三季,0117030010,衛生福利部臺中醫院,區域醫院,12.00,12.00,1.0000,BCP,2,是,是,臺中市,西區
103年第四季,0117030010,衛生福利部臺中醫院,區域醫院,12.00,12.00,1.0000,BCP,2,是,是,臺中市,西區
104年第一季,0117030010,衛生福利部臺中醫院,區域醫院,8.00,8.00,1.0000,BCP,2,是,是,臺中市,西區
104年第二季,0117030010,衛生福利部臺中醫院,區域醫院,7.00,7.00,1.0000,BCP,2,是,是,臺中市,西區
104年第三季,0117030010,衛生福利部臺中醫院,區域醫院,9.00,9.00,1.0000,BCP,3,是,否,臺中市,西區
104年第四季,0117030010,衛生福利部臺中醫院,區域醫院,9.00,9.00,1.0000,BCP,3,是,否,臺中市,西區
105年第一季,0117030010,衛生福利部臺中醫院,區域醫院,8.00,8.00,1.0000,BCP,3,是,是,臺中市,西區
105年第二季,0117030010,衛生福利部臺中醫院,區域醫院,7.00,7.00,1.0000,BCP,3,是,是,臺中市,西區
105年第三季,0117030010,衛生福利部臺中醫院,區域醫院,7.00,7.00,1.0000,BCP,2,是,否,臺中市,西區
105年第四季,0117030010,衛生福利部臺中醫院,區域醫院,7.00,7.00,1.0000,BCP,2,是,否,臺中市,西區
106年第一季,0117030010,衛生福利部臺中醫院,區域醫院,6.00,6.00,1.0000,BCP,3,是,是,臺中市,西區
106年第二季,0117030010,衛生福利部臺中醫院,區域醫院,5.00,5.00,1.0000,BCP,2,是,是,臺中市,西區
106年第三季,0117030010,衛生福利部臺中醫院,區域醫院,4.00,4.00,1.0000,BCP,2,是,否,臺中市,西區
106年第四季,0117030010,衛生福利部臺中醫院,區域醫院,3.00,3.00,1.0000,BCP,2,是,否,臺中市,西區
107年第一季,0117030010,衛生福利部臺中醫院,區域醫院,4.00,4.00,1.0000,BCP,2,是,否,臺中市,西區
107年第二季,0117030010,衛生福利部臺中醫院,區域醫院,5.00,5.00,1.0000,BCP,2,是,否,臺中市,西區
107年第三季,0117030010,衛生福利部臺中醫院,區域醫院,5.00,5.00,1.0000,BCP,2,是,否,臺中市,西區
107年第四季,0117030010,衛生福利部臺中醫院,區域醫院,5.00,5.00,1.0000,BCP,2,是,否,臺中市,西區
108年第一季,0117030010,衛生福利部臺中醫院,區域醫院,3.00,3.00,1.0000,BCP,2,是,否,臺中市,西區
108年第二季,0117030010,衛生福利部臺中醫院,區域醫院,4.00,4.00,1.0000,BCP,2,是,否,臺中市,西區
108年第三季,0117030010,衛生福利部臺中醫院,區域醫院,2.00,2.00,1.0000,BCP,2,是,否,臺中市,西區
108年第四季,0117030010,衛生福利部臺中醫院,區域醫院,2.00,2.00,1.0000,BCP,2,是,否,臺中市,西區
109年第一季,0117030010,衛生福利部臺中醫院,區域醫院,2.00,2.00,1.0000,BCP,2,是,否,臺中市,西區
109年第二季,0117030010,衛生福利部臺中醫院,區域醫院,2.00,2.00,1.0000,BCG,2,是,否,臺中市,西區
109年第三季,0117030010,衛生福利部臺中醫院,區域醫院,2.00,2.00,1.0000,BCP,2,是,否,臺中市,西區
109年第四季,0117030010,衛生福利部臺中醫院,區域醫院,2.00,3.00,0.6667,BCP,2,是,否,臺中市,西區
110年第一季,0117030010,衛生福利部臺中醫院,區域醫院,3.00,3.00,1.0000,BCP,2,是,否,臺中市,西區
110年第二季,0117030010,衛生福利部臺中醫院,區域醫院,3.00,3.00,1.0000,BCP,2,是,否,臺中市,西區
110年第三季,0117030010,衛生福利部臺中醫院,區域醫院,4.00,4.00,1.0000,BCP,2,是,否,臺中市,西區
110年第四季,0117030010,衛生福利部臺中醫院,區域醫院,4.00,4.00,1.0000,BCP,2,是,否,臺中市,西區
111年第一季,0117030010,衛生福利部臺中醫院,區域醫院,4.00,4.00,1.0000,BCP,2,是,否,臺中市,西區
111年第二季,0117030010,衛生福利部臺中醫院,區域醫院,3.00,3.00,1.0000,BCP,2,是,否,臺中市,西區
111年第三季,0117030010,衛生福利部臺中醫院,區域醫院,3.00,3.00,1.0000,BCP,2,是,否,臺中市,西區
111年第四季,0117030010,衛生福利部臺中醫院,區域醫院,3.00,3.00,1.0000,BCP,2,是,否,臺中市,西區
112年第一季,0117030010,衛生福利部臺中醫院,區域醫院,3.00,3.00,1.0000,BCP,2,是,否,臺中市,西區
112年第二季,0117030010,衛生福利部臺中醫院,區域醫院,2.00,2.00,1.0000,BCP,2,是,否,臺中市,西區
100年第一季,0121050011,衛生福利部臺南醫院,區域醫院,3.00,3.00,1.0000,BCG,2,否,,臺南市,中西區
100年第二季,0121050011,衛生福利部臺南醫院,區域醫院,4.00,4.00,1.0000,BCG,2,是,,臺南市,中西區
100年第三季,0121050011,衛生福利部臺南醫院,區域醫院,4.00,4.00,1.0000,BCG,2,是,否,臺南市,中西區
100年第四季,0121050011,衛生福利部臺南醫院,區域醫院,4.00,4.00,1.0000,BCG,1,是,否,臺南市,中西區
101年第一季,0121050011,衛生福利部臺南醫院,區域醫院,4.00,4.00,1.0000,BCG,2,是,否,臺南市,中西區
101年第二季,0121050011,衛生福利部臺南醫院,區域醫院,7.00,7.00,1.0000,BCG,2,是,否,臺南市,中西區
101年第三季,0121050011,衛生福利部臺南醫院,區域醫院,6.00,6.00,1.0000,BCG,2,是,否,臺南市,中西區
101年第四季,0121050011,衛生福利部臺南醫院,區域醫院,8.00,8.00,1.0000,BCG,2,是,否,臺南市,中西區
102年第一季,0121050011,衛生福利部臺南醫院,區域醫院,8.00,9.00,0.8888,BCG,2,是,否,臺南市,中西區
102年第二季,0121050011,衛生福利部臺南醫院,區域醫院,10.00,10.00,1.0000,BCG,2,是,否,臺南市,中西區
102年第三季,0121050011,衛生福利部臺南醫院,區域醫院,12.00,12.00,1.0000,BCG,2,是,否,臺南市,中西區
